Date,Risk Identification,Risk Tracking,Risk Mitigation
09-07-2022,75,5,82
28-06-2020,32,58,91
11-09-2023,17,75,6
14-08-2021,27,61,6
28-12-2021,56,39,26
25-02-2021,22,99,61
11-08-2020,38,60,30
07-06-2023,62,54,30
19-08-2023,44,53,86
09-09-2022,15,32,85
12-05-2023,94,24,65
09-08-2020,26,53,48
15-08-2020,8,28,86
30-11-2023,52,11,34
08-02-2020,93,30,37
22-03-2023,20,3,13
13-06-2022,25,3,94
07-02-2023,95,9,8
11-12-2020,89,11,4
15-10-2023,14,20,44
27-04-2022,12,77,12
21-09-2020,85,85,83
20-04-2023,54,98,86
20-12-2023,64,58,67
14-11-2023,31,65,44
04-10-2021,16,7,27
24-05-2020,69,40,86
15-07-2022,35,47,68
03-11-2021,12,78,61
16-02-2023,69,52,61
30-01-2020,85,85,98
10-06-2020,15,70,7
22-11-2023,16,15,73
26-03-2021,11,76,75
22-12-2022,48,80,40
12-11-2022,91,87,23
07-07-2020,9,50,93
30-10-2021,66,82,94
12-04-2021,78,5,12
13-03-2022,63,28,84
17-11-2020,19,43,28
19-04-2022,93,63,38
15-01-2023,57,11,42
02-06-2023,33,11,24
14-10-2023,31,1,89
17-04-2023,44,17,40
27-03-2021,84,42,56
26-11-2020,24,20,50
17-03-2020,7,94,80
27-01-2021,69,39,45
10-06-2023,72,55,91
27-06-2020,71,48,32
17-04-2021,61,84,75
01-08-2023,56,39,91
26-02-2022,68,54,90
07-07-2021,8,58,78
23-11-2023,70,37,76
29-05-2022,28,100,82
25-07-2021,72,78,98
01-05-2021,89,98,67
07-09-2021,50,88,67
18-08-2020,21,93,72
27-07-2021,87,65,85
15-01-2023,81,39,66
08-07-2021,22,57,63
02-10-2021,96,80,30
02-03-2020,15,14,100
30-12-2022,88,81,100
24-05-2023,52,66,52
24-06-2023,17,35,73
26-06-2021,8,86,37
24-03-2022,17,28,80
20-07-2022,69,41,2
25-11-2021,78,97,42
26-12-2020,23,10,68
21-09-2022,85,42,23
01-02-2023,48,13,43
15-07-2021,59,26,53
18-06-2021,14,13,66
20-12-2023,23,46,3
09-10-2022,30,14,26
09-12-2023,83,20,17
14-04-2020,98,3,9
23-10-2021,72,32,72
07-08-2023,30,7,73
12-10-2021,19,33,30
16-02-2020,58,96,86
24-10-2022,4,51,7
28-07-2022,28,41,35
16-03-2021,45,26,10
02-02-2022,30,54,69
24-03-2022,79,24,83
08-01-2022,39,37,62
14-01-2022,31,58,34
25-09-2021,77,13,43
03-10-2022,33,11,64
21-04-2022,19,48,67
17-01-2020,67,18,23
09-05-2020,34,60,7
02-08-2021,71,25,15
26-06-2023,33,6,68
21-01-2022,41,60,64
02-08-2021,51,97,75
10-08-2023,27,58,71
13-03-2020,61,47,69
05-05-2020,74,81,21
29-09-2020,14,57,19
14-12-2022,85,12,77
05-08-2021,54,15,30
19-02-2021,15,9,35
16-09-2021,17,65,8
09-04-2023,69,8,67
23-05-2022,9,49,26
30-01-2020,74,60,70
30-03-2021,83,52,94
13-03-2021,100,97,49
24-09-2023,31,83,31
27-06-2022,17,64,70
17-11-2023,4,79,70
31-08-2020,80,51,76
13-08-2020,13,32,62
29-03-2023,89,74,78
23-03-2021,33,56,62
09-05-2023,67,71,57
05-02-2021,55,55,54
15-01-2022,1,75,58
10-06-2020,51,11,83
30-05-2020,36,92,44
29-05-2022,36,28,55
07-12-2020,1,94,59
29-12-2021,59,50,27
18-05-2020,16,78,70
19-08-2022,97,34,94
18-09-2021,50,15,53
19-10-2020,100,86,94
15-09-2020,34,41,8
26-10-2020,82,68,27
30-10-2023,39,87,99
20-04-2021,52,58,52
08-03-2022,4,43,35
02-05-2020,53,12,93
18-09-2020,66,63,82
03-05-2020,8,79,70
26-12-2023,78,18,73
05-10-2021,13,6,16
05-04-2023,2,20,51
14-09-2023,14,76,4
17-07-2023,68,82,10
24-11-2020,84,85,75
13-11-2023,12,5,28
01-04-2021,14,56,15
12-04-2022,78,55,83
01-08-2022,61,84,18
04-09-2022,29,49,33
02-10-2021,20,59,86
04-04-2021,87,56,24
08-01-2021,8,14,95
09-10-2023,25,64,49
15-01-2022,70,9,93
08-01-2020,7,26,38
15-07-2020,81,30,32
01-03-2022,83,80,86
03-09-2020,93,82,33
14-12-2023,83,66,64
10-05-2021,6,71,30
24-04-2022,52,32,74
12-11-2023,47,20,5
09-09-2021,25,97,6
22-08-2023,31,58,78
24-08-2023,79,68,85
29-04-2020,52,60,22
15-05-2020,96,21,27
18-08-2020,60,24,35
09-06-2020,63,61,23
26-01-2022,37,92,49
17-05-2021,62,95,7
29-04-2023,96,51,56
06-09-2022,81,28,48
06-09-2020,49,37,71
29-12-2023,92,6,51
01-01-2022,45,47,78
27-11-2022,83,54,74
31-08-2020,55,100,6
07-11-2022,6,9,35
04-12-2022,35,52,28
02-03-2021,52,93,65
11-02-2023,86,80,54
08-08-2021,38,24,94
14-09-2023,82,50,27
29-06-2022,73,53,24
18-12-2022,74,52,47
04-05-2020,17,15,11
23-09-2023,61,1,19
01-07-2020,41,45,52
01-05-2022,74,77,90
24-04-2023,5,77,74
16-03-2023,33,60,88
17-02-2021,47,66,64
22-12-2023,79,97,31
02-11-2022,4,2,99
21-02-2020,99,45,26
10-11-2022,79,6,73
22-11-2021,16,71,50
31-12-2021,24,18,76
03-03-2022,92,70,15
26-04-2020,40,76,52
05-11-2020,9,68,58
09-07-2023,55,88,50
06-03-2022,90,36,54
16-05-2021,31,100,68
01-06-2020,44,61,98
11-09-2021,79,42,7
25-12-2020,14,29,59
08-01-2022,57,93,50
21-05-2020,93,48,4
08-09-2022,84,95,20
20-02-2022,28,62,18
15-06-2022,25,57,40
26-06-2023,56,5,81
08-12-2023,14,80,83
31-01-2023,7,23,10
17-07-2023,77,14,47
07-12-2023,50,76,28
17-09-2023,79,76,59
23-03-2020,88,13,92
22-06-2023,73,14,29
19-09-2022,22,73,99
22-01-2023,25,77,71
01-08-2023,74,82,11
06-11-2021,37,21,70
18-03-2021,21,85,29
12-12-2023,67,43,15
03-01-2021,62,18,44
20-08-2021,70,6,15
14-12-2022,94,38,38
06-07-2023,96,92,9
26-09-2022,32,32,32
07-12-2021,67,17,88
09-10-2022,71,21,44
22-02-2023,93,57,15
10-12-2021,96,95,96
24-03-2022,93,56,44
06-11-2023,78,11,69
25-02-2020,11,1,33
27-02-2022,56,48,90
14-05-2021,26,42,94
20-12-2020,20,56,92
08-04-2022,87,3,53
11-02-2021,66,62,12
29-01-2021,93,16,76
12-01-2023,76,94,21
01-06-2020,11,89,5
09-09-2021,2,35,77
16-12-2020,5,18,34
06-07-2023,55,21,62
14-11-2020,47,89,56
29-05-2020,42,2,23
21-07-2023,55,18,53
06-02-2020,64,97,32
20-02-2020,68,69,65
13-02-2023,2,84,24
07-03-2020,35,93,60
07-10-2020,64,63,18
08-02-2021,71,85,57
26-10-2022,79,41,64
27-02-2022,87,96,31
21-06-2021,41,93,94
15-03-2022,69,16,3
05-05-2023,59,30,35
04-01-2021,86,6,18
14-09-2021,95,77,67
08-01-2022,20,2,60
02-07-2021,100,35,41
31-01-2022,45,72,43
13-08-2023,59,95,19
10-02-2022,24,37,16
07-04-2021,42,38,65
17-12-2022,24,9,65
02-07-2023,19,58,32
11-03-2020,16,25,27
19-09-2022,77,76,91
19-06-2021,39,68,84
05-05-2023,90,16,44
21-11-2020,13,86,28
12-07-2021,50,53,97
27-03-2020,24,63,64
21-09-2021,4,30,27
27-02-2021,10,14,91
27-11-2021,68,39,43
10-05-2020,86,83,59
24-01-2021,44,41,13
11-08-2020,54,37,59
04-06-2023,25,76,34
02-03-2020,87,3,74
21-11-2020,91,69,49
22-05-2021,94,6,5
04-04-2023,97,7,86
10-09-2022,82,1,100
27-06-2022,92,82,73
14-09-2022,46,69,56
03-12-2020,6,94,9
05-05-2023,95,78,43
13-05-2021,30,54,93
14-04-2021,55,40,88
13-07-2021,96,83,14
09-03-2020,64,24,26
03-03-2021,46,16,24
26-09-2021,45,91,9
07-07-2020,95,19,52
30-10-2022,53,71,55
15-01-2022,74,7,68
07-05-2022,83,51,33
06-09-2023,39,94,100
08-10-2020,24,72,49
18-05-2023,9,20,55
22-11-2023,69,26,88
06-11-2022,5,5,52
29-10-2021,66,49,8
19-11-2021,53,21,69
24-03-2021,65,43,37
11-10-2023,86,98,88
26-02-2020,99,17,50
17-08-2021,5,43,4
20-02-2023,82,11,97
24-05-2020,31,61,61
30-06-2021,9,56,2
07-06-2023,88,81,34
17-10-2021,91,46,20
11-08-2020,9,40,62
03-07-2021,27,75,2
20-04-2021,75,5,18
22-10-2023,39,15,76
16-09-2022,44,34,84
04-12-2020,99,88,25
24-03-2021,5,68,74
15-05-2023,22,5,37
12-09-2021,68,53,74
17-07-2023,98,32,7
28-12-2022,67,29,90
20-11-2023,25,15,11
09-09-2021,19,94,54
13-03-2020,78,61,81
12-05-2023,46,13,46
30-09-2020,66,79,68
02-02-2023,16,1,70
13-08-2022,42,39,84
06-05-2020,65,5,14
12-10-2021,8,70,4
16-07-2020,10,34,51
23-10-2021,49,33,25
03-09-2022,43,96,83
29-08-2023,53,36,30
08-09-2021,52,50,86
02-02-2021,69,45,91
14-01-2023,86,82,31
02-11-2022,8,70,54
10-12-2023,67,46,90
03-12-2021,28,66,52
10-06-2020,76,32,87
01-10-2022,57,49,69
22-01-2020,83,53,3
24-03-2021,84,42,29
27-08-2022,70,83,3
05-12-2021,36,91,20
13-05-2021,42,62,51
10-10-2022,4,98,53
27-01-2020,23,55,40
22-12-2022,68,1,18
25-12-2021,67,11,100
11-08-2022,46,27,41
25-11-2023,95,73,16
09-10-2023,65,42,76
02-03-2023,41,21,28
16-03-2023,50,4,51
27-03-2021,48,38,73
19-11-2022,4,25,35
20-08-2023,46,17,49
10-05-2021,69,18,61
16-09-2022,62,98,43
03-12-2022,86,63,84
26-06-2022,34,10,96
18-11-2021,37,84,32
01-11-2021,67,15,18
27-03-2022,88,71,14
05-04-2020,25,41,14
08-01-2023,52,68,28
21-02-2020,40,27,36
16-02-2021,65,45,34
10-06-2023,100,77,31
26-03-2022,26,5,38
19-12-2021,89,44,1
16-02-2022,26,62,93
26-06-2023,39,56,44
14-02-2023,11,77,87
28-11-2021,76,91,39
24-12-2021,39,39,79
28-09-2023,69,33,71
04-11-2020,16,27,82
29-08-2023,6,35,48
01-01-2023,84,12,80
14-08-2022,70,99,57
06-06-2021,34,8,28
19-08-2023,4,97,71
11-08-2022,49,47,81
14-01-2020,38,58,41
18-10-2021,54,49,16
15-01-2023,92,64,2
21-03-2021,38,64,16
27-11-2020,77,22,84
12-04-2022,73,96,38
18-10-2023,11,53,27
29-08-2023,17,9,89
29-09-2021,92,42,5
01-08-2023,33,22,24
19-07-2023,40,13,57
07-02-2022,38,35,62
07-04-2020,46,75,14
11-06-2021,97,60,69
27-12-2021,60,26,21
12-03-2020,61,52,2
11-12-2023,1,11,37
10-12-2022,69,41,35
03-09-2021,42,5,4
20-12-2022,87,69,33
22-04-2022,54,99,6
13-02-2021,97,9,25
23-07-2021,64,68,45
23-01-2022,9,63,14
24-10-2023,1,99,93
21-03-2022,60,68,68
23-07-2022,22,57,54
21-11-2021,75,66,15
20-05-2020,7,41,57
20-04-2021,67,27,6
24-04-2022,7,61,27
21-02-2022,28,69,15
16-12-2023,83,82,64
21-08-2023,4,76,4
21-03-2021,83,29,48
14-10-2023,50,93,34
15-07-2021,23,58,61
19-08-2020,77,75,68
24-12-2020,98,75,29
02-11-2023,51,4,40
08-08-2020,32,85,63
19-04-2023,59,1,51
25-12-2020,66,44,39
08-11-2022,47,24,48
26-06-2023,60,28,38
31-03-2023,60,67,74
10-06-2021,96,42,30
13-08-2023,61,52,49
01-03-2023,66,4,57
30-01-2022,78,59,27
22-04-2022,3,56,66
16-10-2022,52,75,85
15-01-2022,75,92,7
12-02-2021,48,61,9
29-03-2022,51,92,28
24-10-2023,97,80,99
06-05-2022,53,15,76
30-09-2021,23,76,42
12-03-2020,4,10,8
30-01-2023,93,46,33
05-07-2021,2,67,92
03-07-2022,34,63,30
16-12-2022,89,18,95
28-08-2022,70,15,32
24-11-2020,5,10,40
06-08-2022,23,13,27
20-05-2023,88,28,18
15-01-2020,98,24,6
24-02-2022,22,18,12
29-07-2022,92,44,86
14-01-2023,90,57,61
11-06-2020,33,61,64
11-05-2023,71,55,40
16-08-2020,7,75,16
07-10-2021,51,99,94
19-06-2020,80,95,60
04-06-2022,57,57,72
16-10-2022,47,10,32
22-04-2023,59,75,29
27-08-2022,78,1,51
15-10-2021,10,82,94
29-04-2023,25,17,31
10-01-2023,1,86,15
16-01-2021,91,54,4
04-01-2022,28,4,72
12-12-2022,84,11,62
30-09-2020,86,61,46
20-12-2020,51,39,17
12-11-2022,28,56,52
09-11-2021,58,94,29
28-02-2021,78,87,4
28-05-2023,38,80,67
26-11-2023,83,13,72
07-07-2021,43,22,84
20-04-2022,14,9,82
30-11-2020,28,66,81
22-04-2021,67,35,84
26-09-2023,22,8,97
02-02-2020,54,94,14
10-08-2022,4,64,78
18-07-2020,23,75,28
29-12-2021,13,80,90
10-01-2021,31,68,52
09-08-2022,77,37,84
07-03-2021,76,70,59
07-08-2023,66,97,28
28-02-2023,75,57,18
10-01-2020,64,31,92
07-02-2023,35,6,56
09-05-2020,84,48,74
14-05-2021,65,51,63
10-02-2023,73,41,72
14-04-2021,75,42,17
29-09-2022,61,22,81
28-01-2022,57,45,41
14-08-2020,69,77,76
13-12-2022,22,99,46
17-06-2023,61,99,61
24-04-2020,55,47,29
25-03-2022,93,26,15
03-09-2023,88,91,41
29-09-2020,97,23,74
11-11-2023,98,6,64
26-12-2021,4,95,43
30-11-2023,68,66,57
06-12-2020,6,36,59
12-08-2021,60,93,45
09-09-2021,69,83,90
06-08-2023,36,56,2
29-01-2022,84,43,79
15-02-2023,72,5,74
12-04-2022,92,52,4
14-09-2020,18,3,94
05-02-2022,5,66,70
26-11-2023,21,13,28
01-04-2022,57,51,58
24-09-2021,93,25,69
03-10-2020,93,51,41
03-07-2020,36,59,72
21-09-2023,91,86,24
22-11-2022,79,12,35
26-05-2020,34,50,53
03-12-2022,61,88,52
28-01-2020,43,36,55
07-02-2020,30,92,27
13-12-2020,16,39,5
25-10-2021,100,34,46
23-12-2020,72,27,22
09-08-2020,1,95,89
21-03-2022,64,86,34
06-10-2020,61,95,27
06-06-2022,77,94,61
12-03-2022,76,41,18
11-12-2021,31,46,61
07-12-2021,9,54,17
02-11-2023,68,66,87
15-12-2022,90,80,63
08-03-2020,19,50,35
05-06-2021,94,78,86
13-07-2020,96,7,65
17-02-2022,74,85,33
30-04-2022,84,76,88
08-12-2022,81,56,35
04-02-2021,60,62,53
10-02-2021,99,34,6
10-06-2021,20,29,55
01-07-2020,15,6,36
10-03-2023,10,44,81
28-12-2021,80,15,94
11-07-2021,23,76,1
03-11-2020,64,19,69
10-12-2023,19,86,88
29-03-2020,80,31,67
06-08-2021,100,69,60
15-03-2021,47,68,31
19-02-2020,91,34,86
02-07-2022,45,82,38
22-08-2022,18,80,65
06-12-2021,84,7,73
29-04-2021,39,87,53
08-06-2020,63,15,12
07-11-2021,56,51,60
18-04-2023,30,1,43
20-06-2022,19,46,4
26-01-2023,5,9,11
30-09-2021,65,92,99
27-04-2020,16,75,82
16-08-2021,28,6,77
14-01-2020,78,91,8
22-09-2021,55,83,50
28-12-2020,25,60,50
13-01-2020,97,63,32
25-01-2020,8,88,95
11-01-2020,85,63,40
01-09-2020,68,92,93
29-11-2023,34,18,34
08-10-2022,90,3,9
14-01-2021,96,82,90
14-02-2021,59,21,64
03-09-2023,53,81,54
20-01-2021,61,29,47
16-09-2022,4,22,95
31-12-2020,59,32,26
06-10-2021,80,64,26
05-06-2020,94,79,8
06-06-2021,54,54,69
03-06-2022,92,92,57
17-01-2022,32,100,6
13-12-2021,86,59,58
26-03-2021,69,74,8
01-06-2020,73,29,15
01-02-2022,13,77,51
14-07-2023,8,98,43
02-03-2021,77,97,14
22-05-2020,93,20,75
04-04-2023,80,73,7
04-11-2022,24,79,49
18-08-2021,43,81,81
02-03-2022,61,67,16
06-01-2021,67,49,67
02-01-2020,45,2,85
13-02-2020,91,78,23
05-04-2023,1,66,10
17-07-2020,41,42,65
05-07-2020,23,19,49
12-05-2020,2,66,84
09-08-2020,73,96,14
21-08-2020,61,100,88
11-05-2023,33,49,21
02-10-2022,37,13,88
11-11-2021,61,60,33
14-05-2021,66,62,52
08-12-2022,89,93,66
20-11-2021,16,21,91
13-03-2022,27,29,35
16-11-2020,34,80,13
16-08-2022,64,99,24
21-06-2020,80,55,56
02-10-2022,2,51,40
20-01-2020,56,51,30
05-07-2023,78,53,56
08-09-2022,43,66,100
26-01-2021,1,37,56
22-10-2021,46,89,46
30-07-2020,82,43,72
19-12-2023,23,31,87
01-06-2020,48,22,18
08-04-2022,23,10,39
21-01-2022,15,40,5
07-03-2023,62,9,48
05-11-2023,90,42,35
05-04-2021,96,91,24
29-07-2021,15,35,91
16-10-2022,48,86,90
14-11-2023,19,56,41
28-06-2022,19,24,12
07-07-2021,13,10,59
24-04-2021,60,33,83
28-03-2021,46,28,12
29-12-2022,12,49,37
11-12-2021,42,3,65
07-05-2023,14,33,82
15-07-2021,33,48,36
12-09-2020,35,63,16
14-06-2020,100,96,23
22-02-2023,44,54,26
16-09-2021,52,40,17
11-12-2022,31,6,69
27-03-2020,17,95,12
07-08-2022,23,69,34
26-09-2020,62,6,82
09-04-2023,21,53,87
11-07-2023,77,37,25
20-05-2020,8,48,46
20-05-2023,50,28,94
29-08-2021,78,45,16
21-03-2021,85,75,31
13-04-2022,93,34,30
07-09-2023,2,93,16
16-09-2022,60,11,5
09-08-2020,47,91,23
12-03-2021,24,74,25
15-03-2020,95,93,42
05-07-2022,17,95,95
01-12-2023,57,7,4
11-03-2022,80,26,20
24-05-2020,34,85,24
22-12-2023,40,61,4
14-11-2023,12,31,74
13-05-2023,51,50,47
13-01-2022,82,43,46
30-06-2020,79,42,46
25-12-2020,85,10,84
11-08-2022,85,52,89
13-07-2021,69,10,43
28-02-2022,49,32,83
11-07-2022,34,72,11
14-11-2023,89,95,34
27-05-2022,79,51,70
20-04-2020,79,64,59
02-03-2023,31,53,51
16-10-2022,74,77,29
24-01-2021,8,30,77
23-08-2020,29,23,24
14-04-2023,52,36,15
16-03-2020,66,24,98
16-11-2020,67,34,56
03-03-2021,47,18,76
13-11-2021,5,94,86
25-01-2021,89,11,26
01-09-2020,53,41,61
17-07-2023,32,60,87
16-04-2022,25,31,80
31-07-2020,27,41,12
26-03-2022,63,28,43
28-04-2021,41,74,56
18-08-2021,36,2,72
22-02-2021,59,64,74
11-06-2022,21,30,84
24-11-2022,98,23,10
28-07-2021,57,91,93
27-08-2023,75,17,14
25-04-2022,45,17,9
16-12-2021,95,44,72
03-06-2022,86,93,22
17-07-2022,18,7,7
05-06-2021,62,39,27
26-08-2020,87,12,60
13-12-2023,79,24,61
21-10-2020,66,62,98
29-10-2023,11,78,92
09-01-2023,31,70,32
06-01-2020,70,32,63
30-01-2022,80,40,4
27-08-2020,3,92,15
26-08-2023,83,66,15
21-02-2022,54,84,26
28-01-2021,57,83,60
10-06-2020,14,69,84
24-02-2021,89,75,27
13-10-2022,2,59,55
01-07-2022,60,33,45
17-01-2023,10,71,55
25-08-2020,10,89,5
09-12-2020,75,30,66
02-10-2023,5,46,13
13-02-2021,60,12,84
04-07-2022,63,58,48
20-02-2023,32,53,21
22-10-2022,69,51,38
20-03-2021,74,92,34
04-06-2023,14,76,30
08-04-2022,32,19,50
02-01-2023,17,67,3
27-01-2020,91,37,55
06-07-2023,44,24,88
10-06-2022,58,48,46
02-08-2021,28,22,21
16-10-2020,39,90,89
12-06-2023,7,95,50
01-10-2023,45,38,35
18-09-2020,86,64,81
15-07-2023,27,36,53
30-05-2022,44,79,39
17-03-2020,34,70,28
14-10-2020,94,2,14
24-06-2023,76,23,20
28-04-2022,77,11,42
17-12-2021,51,11,50
04-11-2021,97,25,52
02-07-2020,11,42,42
04-06-2023,3,40,55
05-08-2023,98,17,25
19-12-2021,58,79,81
06-10-2021,93,70,84
17-11-2020,61,11,9
29-10-2023,25,13,76
30-12-2023,68,74,5
04-07-2020,72,98,39
18-02-2020,74,48,19
11-08-2023,12,40,3
19-04-2020,95,21,30
22-08-2023,6,48,21
03-08-2021,61,69,15
28-08-2022,70,58,30
13-06-2021,25,40,57
27-04-2022,23,51,20
29-09-2022,89,90,59
25-04-2021,77,91,94
25-08-2023,51,81,8
07-06-2020,31,80,100
17-09-2022,33,75,93
22-09-2021,17,57,3
24-05-2023,96,7,66
10-05-2022,31,75,37
10-10-2022,47,13,72
16-03-2023,53,21,93
30-07-2021,8,99,86
13-09-2022,51,100,14
13-11-2020,10,58,16
19-12-2023,98,79,55
10-10-2020,39,17,25
07-01-2021,72,44,94
27-01-2020,65,70,88
24-01-2022,98,2,66
08-10-2020,6,74,92
04-06-2020,38,74,41
13-07-2021,21,49,70
22-11-2021,68,50,87
28-12-2020,38,28,68
16-08-2021,40,45,23
05-01-2023,58,13,20
21-04-2021,18,83,76
23-03-2020,22,25,37
24-01-2021,97,28,95
19-01-2020,5,55,28
27-12-2021,5,71,20
12-07-2023,76,26,58
17-03-2021,15,6,12
22-06-2021,32,29,87
28-05-2021,52,88,4
29-11-2020,95,53,36
25-11-2023,43,55,48
13-10-2021,4,85,98
06-08-2023,9,30,62
17-05-2023,11,21,11
14-07-2022,28,61,48
09-08-2022,7,52,49
10-07-2023,11,42,29
24-03-2020,66,71,71
15-10-2023,56,37,9
07-11-2021,26,94,16
14-05-2020,53,45,25
28-02-2023,71,59,79
27-03-2021,66,38,59
20-09-2023,57,47,40
28-05-2020,30,46,95
01-04-2020,22,48,72
02-11-2023,33,44,91
31-03-2022,39,97,89
24-09-2022,68,66,10
01-04-2022,95,63,92
14-12-2020,23,93,65
04-09-2020,99,7,3
03-04-2023,1,26,59
29-06-2021,22,48,26
05-07-2023,67,40,87
23-10-2023,24,13,65
16-12-2023,44,9,22
23-11-2023,59,1,92
02-04-2023,87,28,32
19-08-2020,61,53,3
12-02-2021,73,93,73
22-02-2022,50,71,39
06-10-2022,62,43,12
12-04-2023,67,18,50
14-11-2021,95,7,100
24-11-2023,53,78,43
28-10-2023,79,50,49
12-04-2023,79,18,11
10-03-2022,65,17,59
10-08-2023,16,88,2
17-11-2021,74,24,6
04-06-2021,77,66,63
29-08-2022,4,73,76
16-08-2023,72,17,99
29-09-2020,46,8,61
20-09-2020,9,96,62
08-10-2021,47,60,49
14-11-2023,1,93,22
25-09-2023,54,41,24
11-06-2022,62,9,5
10-07-2023,79,37,19
13-04-2022,18,93,45
07-10-2020,75,36,99
06-09-2022,17,3,49
12-09-2020,35,22,84
18-03-2022,67,35,32
08-01-2021,98,95,59
18-04-2023,77,58,63
18-02-2022,95,62,16
19-02-2023,72,54,92
04-11-2020,81,21,37
30-01-2022,1,57,60
23-10-2020,77,11,20
26-12-2021,43,95,29
09-04-2022,69,40,90
31-08-2020,73,40,16
15-04-2021,11,21,80
22-05-2022,71,6,20
16-09-2022,38,42,98
07-03-2020,50,82,79
15-08-2021,55,94,71
09-11-2022,10,16,8
19-12-2021,77,88,46
13-04-2022,32,79,12
17-01-2022,31,84,82
25-10-2022,53,74,35
13-03-2023,40,41,6
30-06-2022,36,90,9
03-11-2021,86,18,49
25-01-2020,92,12,24
25-11-2022,14,50,40
19-10-2021,75,91,49
28-09-2023,67,44,92
18-08-2020,15,39,8
24-07-2023,53,88,69
09-02-2020,45,91,76
04-01-2023,24,78,94
16-05-2022,27,93,7
15-12-2022,24,44,3
13-07-2023,45,69,92
03-07-2022,89,75,8
13-11-2022,96,77,100
17-11-2020,1,18,25
03-01-2020,79,33,56
18-07-2020,57,3,74
03-11-2021,57,7,24
25-05-2020,21,62,79
05-05-2023,1,18,41
05-08-2023,42,32,29
30-10-2022,81,9,3
31-03-2023,49,26,29
25-11-2021,70,39,40
17-12-2022,48,19,29
28-01-2020,65,4,81
14-05-2022,10,11,30
28-02-2020,14,83,80
09-04-2022,14,53,66
06-06-2020,98,92,47
30-06-2023,6,2,66
18-11-2020,24,89,21
16-11-2020,18,98,30
08-02-2023,23,25,20
06-08-2023,49,25,5
30-10-2022,51,36,67
19-12-2020,92,24,32
12-06-2021,98,98,2
24-04-2022,73,61,24
16-12-2021,93,26,64
14-01-2023,61,59,92
25-06-2020,67,25,80
12-01-2023,53,99,99
28-06-2021,94,63,22
05-06-2021,4,25,20
26-07-2021,23,44,70
25-06-2020,43,84,49
08-10-2022,18,93,76
13-11-2020,79,20,22
31-07-2022,67,25,81
26-12-2021,8,11,90
21-02-2021,78,53,78
17-09-2023,62,34,38
09-09-2023,72,24,33
10-12-2022,51,98,40
25-01-2023,71,66,33
22-09-2023,17,23,37
01-10-2023,85,48,52
10-09-2020,96,30,3
11-07-2023,50,99,92
10-06-2020,96,4,6
21-09-2022,83,64,96
19-08-2020,65,58,59
17-06-2021,56,6,49
10-03-2020,72,42,75
05-11-2023,49,85,13
21-01-2022,25,95,20
25-04-2022,2,15,15
27-02-2020,57,5,44
05-03-2021,40,5,54
28-12-2023,89,54,57
01-04-2023,77,66,70
22-11-2022,39,94,11
07-05-2022,97,70,67
19-05-2021,36,73,88
08-09-2023,51,77,74
04-10-2023,50,42,31
28-04-2023,8,33,40
06-04-2023,28,84,72
24-12-2020,40,83,62
05-05-2021,46,45,83
26-04-2020,76,73,78
27-03-2021,63,22,19
27-04-2021,98,46,77
23-06-2022,28,63,10
20-05-2021,1,39,55
13-04-2022,56,90,45
17-03-2023,89,15,4
13-09-2023,99,17,15
18-07-2020,41,9,97
11-07-2021,63,45,84
14-11-2023,72,92,20
20-06-2023,42,2,94
05-12-2023,12,76,95
29-07-2021,22,56,13
31-12-2023,43,27,42
